osmid,cause,year,earthquake,war,fire,other_natural,other
139240553,fire,1420,FALSE,FALSE,TRUE,FALSE,FALSE
39333604,fire,1137,FALSE,FALSE,TRUE,FALSE,FALSE
40650689,fire,1188,FALSE,FALSE,TRUE,FALSE,FALSE
98014681,ruin after norman invasion,1066,FALSE,TRUE,FALSE,FALSE,FALSE
28021345,fire,1174,FALSE,FALSE,TRUE,FALSE,FALSE
38694157,damage during rebellion,1400,FALSE,TRUE,FALSE,FALSE,FALSE
278889326,tower collapsed,1468,FALSE,FALSE,FALSE,FALSE,TRUE
59317197,fire,1187,FALSE,FALSE,TRUE,FALSE,FALSE
4311103,vikings,900,FALSE,TRUE,FALSE,FALSE,FALSE
36393775,pludered,1056,FALSE,TRUE,FALSE,FALSE,FALSE
242966968,roof in fire,1124,FALSE,FALSE,TRUE,FALSE,FALSE
1821753,damaged by riots,1272,FALSE,TRUE,FALSE,FALSE,FALSE
4678895,fire,1450,FALSE,FALSE,TRUE,FALSE,FALSE
27065040,fire,1116,FALSE,FALSE,TRUE,FALSE,FALSE
60566221,fire,1266,FALSE,FALSE,TRUE,FALSE,FALSE
4099626,earthquake,1250,TRUE,FALSE,FALSE,FALSE,FALSE
28750371,danes,1075,FALSE,TRUE,FALSE,FALSE,FALSE
