osmid,city,osmname,surface,osmwikipedia,osmlink,category,mendicants,lat,lon,,,,,,,,,,,,,,,
124813346,Aquila (L'Aquila),Basilica di Santa Maria di Collemaggio,height,,,parish,,,,26,26,28,28,28,28,28,28,,,,,,,
124813346,Aquila (L'Aquila),Basilica di Santa Maria di Collemaggio,m3,,,parish,,,,,,,,,,,,,,,,,,
124813346,Aquila (L'Aquila),Basilica di Santa Maria di Collemaggio,guestimate,,,parish,,,,1,1,1,1,1,1,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
503343772,Aquila (L'Aquila),Basilica di San Bernardino,3859.8513,it.wikipedia.org/wiki/Basilica_di_San_Bernardino,http://www.openstreetmap.org/way/503343772,conventual,1,42.35057644,13.40242513,x,x,x,x,x,x,x,x,x,x,x,x,x,,
503343772,Aquila (L'Aquila),Basilica di San Bernardino,year,,,conventual,1,,,1454,1472,,,,,,,,,,,,,
503343772,Aquila (L'Aquila),Basilica di San Bernardino,surface,,,conventual,1,,,0,3000,,,,,,,,,,,,,
503343772,Aquila (L'Aquila),Basilica di San Bernardino,height,,,conventual,1,,,27,27,,,,,,,,,,,,,
503343772,Aquila (L'Aquila),Basilica di San Bernardino,m3,,,conventual,1,,,,,,,,,,,,,,,,,
503343772,Aquila (L'Aquila),Basilica di San Bernardino,guestimate,,,conventual,1,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
234822745,Arezzo,Pieve di Santa Maria,1142.800031,it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_della_Pieve_(Arezzo),http://www.openstreetmap.org/way/234822745,parish,,43.46490261,11.8834812,x,x,x,x,x,x,x,x,x,x,x,x,x,,
234822745,Arezzo,Pieve di Santa Maria,year,,,parish,,,,900,1000,1100,1200,1201,1300,1301,1330,,,,,,,
234822745,Arezzo,Pieve di Santa Maria,surface,,,parish,,,,0,900,0,800,,200,,100,,,,,,,
234822745,Arezzo,Pieve di Santa Maria,height,,,parish,,,,17,17,18,18,18,18,18,18,,,,,,,
234822745,Arezzo,Pieve di Santa Maria,m3,,,parish,,,,,,,,,,,,,,,,,,
234822745,Arezzo,Pieve di Santa Maria,guestimate,,,parish,,,,1,1,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
104536788,Arezzo,Chiesa della Santissima Annunziata,1231.668436,it.wikipedia.org/wiki/Chiesa_della_Santissima_Annunziata_(Arezzo),http://www.openstreetmap.org/way/104536788,parish,,43.46710716,11.87780917,x,x,x,x,x,x,x,x,x,x,x,x,x,,
104536788,Arezzo,Chiesa della Santissima Annunziata,year,,,parish,,,,1200,1300,1491,1550,,,,,,,,,,,
104536788,Arezzo,Chiesa della Santissima Annunziata,surface,,,parish,,,,0,1000,0,1200,,,,,,,,,,,
104536788,Arezzo,Chiesa della Santissima Annunziata,height,,,parish,,,,17,17,19,19,,,,,,,,,,,
104536788,Arezzo,Chiesa della Santissima Annunziata,m3,,,parish,,,,,,,,,,,,,,,,,,
104536788,Arezzo,Chiesa della Santissima Annunziata,guestimate,,,parish,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
104024575,Arezzo,Basilica di San Francesco,1252.36878,it.wikipedia.org/wiki/Basilica_di_San_Francesco_(Arezzo),http://www.openstreetmap.org/way/104024575,parish,,43.46438416,11.88077419,x,x,x,x,x,x,x,x,x,x,x,x,x,,
104024575,Arezzo,Basilica di San Francesco,year,,,parish,,,,1318,1377,,,,,,,,,,,,,
104024575,Arezzo,Basilica di San Francesco,surface,,,parish,,,,0,1300,,,,,,,,,,,,,
104024575,Arezzo,Basilica di San Francesco,height,,,parish,,,,19,19,,,,,,,,,,,,,
104024575,Arezzo,Basilica di San Francesco,m3,,,parish,,,,,,,,,,,,,,,,,,
104024575,Arezzo,Basilica di San Francesco,guestimate,,,parish,,,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
330434041,Arezzo,Chiesa di San Domenico,1637.589709,it.wikipedia.org/wiki/Chiesa_di_San_Domenico_(Arezzo),http://www.openstreetmap.org/way/330434041,conventual,1,43.4690801,11.88199448,x,x,x,x,x,x,x,x,x,x,x,x,x,,
330434041,Arezzo,Chiesa di San Domenico,year,,,conventual,1,,,1275,1350,,,,,,,,,,,,,
330434041,Arezzo,Chiesa di San Domenico,surface,,,conventual,1,,,0,1600,,,,,,,,,,,,,
330434041,Arezzo,Chiesa di San Domenico,height,,,conventual,1,,,21,21,,,,,,,,,,,,,
330434041,Arezzo,Chiesa di San Domenico,m3,,,conventual,1,,,,,,,,,,,,,,,,,
330434041,Arezzo,Chiesa di San Domenico,guestimate,,,conventual,1,,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
22720153,Arezzo,Duomo di Arezzo,3225.196234,en.wikipedia.org/wiki/Arezzo_Cathedral,http://www.openstreetmap.org/way/22720153,cathedral,,43.46705209,11.8834402,x,x,x,x,x,x,x,x,x,x,x,x,x,,
22720153,Arezzo,Duomo di Arezzo,year,,,cathedral,,,,1278,1511,,,,,,,,,,,,,
22720153,Arezzo,Duomo di Arezzo,surface,,,cathedral,,,,0,3200,,,,,,,,,,,,,
22720153,Arezzo,Duomo di Arezzo,height,,,cathedral,,,,28,28,,,,,,,,,,,,,
22720153,Arezzo,Duomo di Arezzo,m3,,,cathedral,,,,,,,,,,,,,,,,,,
22720153,Arezzo,Duomo di Arezzo,guestimate,,,cathedral,,,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
172004103,Arpino,Santuario di Santa Maria Assunta di Cività,1097.587049,http://www.arpinoturismo.it/index.php/it/la-citta/chiese-e-monasteri/santuario-santa-maria-di-civita,http://www.openstreetmap.org/way/172004103,parish,,41.64729856,13.60852667,x,x,x,x,x,x,x,x,x,x,x,x,x,,
172004103,Arpino,Santuario di Santa Maria Assunta di Cività,year,,,parish,,,,900,1000,1200,1300,,,,,,,,,,,
172004103,Arpino,Santuario di Santa Maria Assunta di Cività,surface,,,parish,,,,0,900,,100,,,,,,,,,,,
172004103,Arpino,Santuario di Santa Maria Assunta di Cività,height,,,parish,,,,17,17,17,17,,,,,,,,,,,
172004103,Arpino,Santuario di Santa Maria Assunta di Cività,m3,,,parish,,,,,,,,,,,,,,,,,,
172004103,Arpino,Santuario di Santa Maria Assunta di Cività,guestimate,,,parish,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
